Facility Name,Company,Facility Type,Facility Detail,Capacity,Railroads,Port,Car Spot,latitude,longitude
Madison,Green Plains Madison LLC,Ethanol Plant,,100 Million Gallons,,,,38.6839,-90.1804
Mount Vernon,Green Plains Mount Vernon LLC,Ethanol Plant,,135 Million Gallons,,,,37.9084,-87.7257
Obion,Green Plains Obion LLC,Ethanol Plant,,135 Million Gallons,,,,36.2828,-89.1495
Fergus Falls,Green Plains Otter Tail LLC,Ethanol Plant,,67 Million Gallons,,,,46.3129,-96.1317
Shenandoah,Green Plains Shenandoah LLC,Ethanol Plant,,100 Million Gallons,,,,40.7572,-95.3962
Superior,Green Plains Superior,Ethanol Plant,,69 Million Gallons,,,,43.4324,-94.9602
Wood River,Green Plains Wood River LLC,Ethanol Plant,,124 Million Gallons,,,,40.8156,-98.6074
York,Green Plains York LLC,Ethanol Plant,,60 Million Gallons,,,,40.8963,-97.5447
Winnebago,Greenfield Global Corn Plus LLC,Ethanol Plant,,43 Million Gallons,,,,43.7623,-94.1517
Janesville,Guardian Energy LLC,Ethanol Plant,,164 Million Gallons,,,,44.1124,-93.6779
Lima,Guardian Lima LLC,Ethanol Plant,,84 Million Gallons,,,,40.7067,-84.078
Hankinson,Hankinson Renewable Energy LLC,Ethanol Plant,,157 Million Gallons,,,,46.07,-96.874
Heartland,Heartland Corn Products,Ethanol Plant,,148 Million Gallons,,,,44.5415,-94.341
Hereford,Hereford Ethanol Partners LP,Ethanol Plant,,120 Million Gallons,,,,34.849,-102.3111
Heron Lake,Heron Lake Bioenergy LLC,Ethanol Plant,,69 Million Gallons,,,,43.8074,-95.2884
Levelland,HET Levelland LLC,Ethanol Plant,,50 Million Gallons,,,,33.5925,-102.2655
Highwater,Highwater Ethanol LLC,Ethanol Plant,,72 Million Gallons,,,,44.2307,-95.2985
Lawler,Homeland Energy Solutions LLC,Ethanol Plant,,196 Million Gallons,,,,43.0729,-92.2056
Aberdeen,Hub City Energy LLC,Ethanol Plant,,70 Million Gallons,,,,45.459,-98.5455
Huron,Huron Energy LLC,Ethanol Plant,,60 Million Gallons,,,,44.3739,-98.2549
Plainview,Husker Ag LLC,Ethanol Plant,,109 Million Gallons,,,,42.3511,-97.7428
Saint Joseph,ICM Biofuels LLC,Ethanol Plant,,50 Million Gallons,,,,39.7381,-94.8466
Rochelle,Illionis River Energy LLC,Ethanol Plant,,138 Million Gallons,,,,41.8932,-89.0337
Rensselaer,Iroquois Bio-Energy Co LLC,Ethanol Plant,,60 Million Gallons,,,,40.932,-87.0605
Lyons,Kansas Ethanol LLC,Ethanol Plant,,80 Million Gallons,,,,38.2873,-98.194
Minden,Kappa Ethanol LLC,Ethanol Plant,,87 Million Gallons,,,,40.4822,-99.0781
Ravenna,Kappa Ethanol Ravenna LLC,Ethanol Plant,,138 Million Gallons,,,,41.0204,-98.8707
Aurora,Kappa Partners Aurora LLC,Ethanol Plant,,110 Million Gallons,,,,40.8699,-98.0476
Palestine,Lincolnland Agri-Energy LLC,Ethanol Plant,,68 Million Gallons,,,,39.0061,-87.6268
Nevada,Lincolnway Energy LLC,Ethanol Plant,,90 Million Gallons,,,,42.0231,-93.5127
Little Sioux,Little Sioux Corn Processors LLLP,Ethanol Plant,,165 Million Gallons,,,,42.8212,-95.7599
Grand Junction,Louis Dreyfus Co,Ethanol Plant,,122 Million Gallons,,,,42.0542,-94.2386
Hennepin,Marquis Energy LLC,Ethanol Plant,,400 Million Gallons,,,,41.2779,-89.3147
Necedah,Marquis Energy Wisconsin LLC,Ethanol Plant,,106 Million Gallons,,,,43.9905,-90.076
Marysville,Marysville Ethanol LLC,Ethanol Plant,,60 Million Gallons,,,,42.8849,-82.4929
Atchison,MGP Ingridents Inc,Ethanol Plant,,6 Million Gallons,,,,39.5606,-95.134
Madrid,Mid America Agri Products LLC,Ethanol Plant,,50 Million Gallons,,,,40.5286,-101.5342
Malta Bend,Mid-Missouri Energy LLC,Ethanol Plant,,60 Million Gallons,,,,39.1945,-93.3841
Sutherland,Midwest Renewable Energy LLC,Ethanol Plant,,28 Million Gallons,,,,41.1621,-101.0929
Cambridge,Nebraska Corn Processing LLC,Ethanol Plant,,54 Million Gallons,,,,40.2802,-100.1597
Scandia,Nesika Energy LLC,Ethanol Plant,,12 Million Gallons,,,,39.7864,-97.8212
Marion,Nugen Energy LLC,Ethanol Plant,,150 Million Gallons,,,,43.4364,-97.2689
Gibson City,One Earth Energy LLC,Ethanol Plant,,150 Million Gallons,,,,40.4699,-88.3967
Rancho Cucamonga,Parallel Products,Ethanol Plant,,3 Million Gallons,,,,34.0984,-117.5374
Louisville,Parallel Products Inc,Ethanol Plant,,6 Million Gallons,,,,38.2175,-85.7859
Annawan,Patriot Renewable Fuels LLC,Ethanol Plant,,130 Million Gallons,,,,41.3954,-89.8757
Clearfield,Pennsylvania Grain Processing LLC,Ethanol Plant,,128 Million Gallons,,,,41.0307,-78.4293
Pine Lake,Pine Lake Corn Processors,Ethanol Plant,,87 Million Gallons,,,,42.4593,-93.0572
Plainview,Plainview Bioenergy LLC,Ethanol Plant,,130 Million Gallons,,,,34.179,-101.6271
Merrill,Plymouth Energy LLC,Ethanol Plant,,55 Million Gallons,,,,42.7309,-96.25
Big Stone,Poet Biorefining- Big Stone LLC,Ethanol Plant,,105 Million Gallons,,,,45.2978,-96.5118
Chancellor,Poet Biorefining- Chancellor LLC,Ethanol Plant,,125 Million Gallons,,,,43.3716,-96.9643
Groton,Poet Biorefining- Groton LLC,Ethanol Plant,,68 Million Gallons,,,,45.4539,-98.1372
Sioux River,Poet Biorefining- Hudson,Ethanol Plant,,80 Million Gallons,,,,43.0955,-96.4801
Mitchell,Poet Biorefining- Mitchell LLC,Ethanol Plant,,86 Million Gallons,,,,43.8034,-98.1047
Alexandria,Poet Biorefining-Alexandria LLC,Ethanol Plant,,90 Million Gallons,,,,40.2968,-85.6548
Bringham Lake,Poet Biorefining-Bingham Lake LLC,Ethanol Plant,,35 Million Gallons,,,,43.9025,-95.059
Fairmont,Poet Biorefining-Fairmont,Ethanol Plant,,128 Million Gallons,,,,40.6114,-97.6014
Fostoria,Poet Biorefining-Fostoria LLC,Ethanol Plant,,90 Million Gallons,,,,41.1723,-83.3777
Albert Lea,Poet Biorefining--Glenville LLC,Ethanol Plant,,48 Million Gallons,,,,43.5762,-93.302
Laddonia,Poet Biorefining-Laddonia LLC,Ethanol Plant,,80 Million Gallons,,,,39.2499,-91.6405
Lake Crystal,Poet Biorefining--Lake Crystal LLC,Ethanol Plant,,68 Million Gallons,,,,44.101,-94.2759
Leipsic,Poet Biorefining-Leipsic LLC,Ethanol Plant,,90 Million Gallons,,,,41.1212,-83.9692
Macon,Poet Biorefining-Macon LLC,Ethanol Plant,,55 Million Gallons,,,,39.75,-92.3834
Marion,Poet Biorefining-Marion,Ethanol Plant,,162 Million Gallons,,,,40.6245,-83.1573
North Manchester,Poet Biorefining-North Manchester,Ethanol Plant,,90 Million Gallons,,,,40.9422,-85.7896
Portland,Poet Biorefining-Portland LLC,Ethanol Plant,,90 Million Gallons,,,,39.5648,-85.8214
Preston,Poet Biorefining--Preston LLC,Ethanol Plant,,55 Million Gallons,,,,43.6866,-92.0914
Shelbyville,Poet Biorefining-Shelbyville,Ethanol Plant,,94 Million Gallons,,,,39.5648,-85.8214
Arthur,Poet Biorefinning-Arthur LLC,Ethanol Plant,,132 Million Gallons,,,,42.3134,-95.2486
Ashton,Poet Biorefinning-Ashton LLC,Ethanol Plant,,68 Million Gallons,,,,43.2723,-95.8087
Caro,Poet Biorefinning-Caro,Ethanol Plant,,80 Million Gallons,,,,43.4716,-83.4122
Coon Rapids,Poet Biorefinning-Coon Rapids,Ethanol Plant,,65 Million Gallons,,,,41.8609,-94.6287
Corning,Poet Biorefinning-Corning LLC,Ethanol Plant,,90 Million Gallons,,,,40.9676,-94.7954
Emmetsburg,Poet Biorefinning-Emmetsburg LLC,Ethanol Plant,,68 Million Gallons,,,,43.0975,-94.6554
Fairbank,Poet Biorefinning-Fairbank,Ethanol Plant,,132 Million Gallons,,,,42.6382,-92.0445
Gowrie,Poet Biorefinning-Gowrie LLC,Ethanol Plant,,90 Million Gallons,,,,42.3253,-94.2884
Hanlontown,Poet Biorefinning-Hanlontown LLC,Ethanol Plant,,80 Million Gallons,,,,43.2901,-93.3886
Iowa Falls,Poet Biorefinning-Iowa Falls LLC,Ethanol Plant,,112 Million Gallons,,,,42.5072,-93.2825
Jewell,Poet Biorefinning-Jewell LLC,Ethanol Plant,,90 Million Gallons,,,,42.325,-93.661
Menlo,Poet Biorefinning-Menlo,Ethanol Plant,,132 Million Gallons,,,,41.5254,-94.3759
Shell Rock,Poet Biorefinning-Shell Rock LLC,Ethanol Plant,,128 Million Gallons,,,,42.7373,-92.6173
Scotland,Poet Research Center,Ethanol Plant,,12 Million Gallons,,,,43.1468,-97.7273
Pratt,Pratt Energy LLC,Ethanol Plant,,55 Million Gallons,,,,37.6839,-98.7104
Russell,Purefield Ingridents LLC,Ethanol Plant,,55 Million Gallons,,,,38.899,-98.4
Quad,Quad County Corn Processors Coop,Ethanol Plant,,38 Million Gallons,,,,42.4768,-95.4146
Rosholt,Red River Energy LLC,Ethanol Plant,,36 Million Gallons,,,,45.8734,-96.724
Red Trail,Red Trail Energy LLC,Ethanol Plant,,65 Million Gallons,,,,46.8787,-102.2965
Redfield,Redfield Energy LLC,Ethanol Plant,,65 Million Gallons,,,,44.9177,-98.5008
Garden City,Reeve Agri Energy Inc,Ethanol Plant,,20 Million Gallons,,,,37.8813,-100.8855
Onida,Ringneck Energy & Feed LLC,Ethanol Plant,,80 Million Gallons,,,,44.6935,-100.0622
Atkinson,Sandhills Renewable Energy LLC,Ethanol Plant,,53 Million Gallons,,,,42.5212,-98.9612
Carrolton,Show Me Ethanol,Ethanol Plant,,66 Million Gallons,,,,39.3645,-93.4512
Sioux Center,Siouxland Energy Cooperative,Ethanol Plant,,65 Million Gallons,,,,43.0859,-96.2343
Jackson,Siouxland Ethnaol LLC,Ethanol Plant,,100 Million Gallons,,,,42.452,-96.5923
Council Bluffs,Sothwest Iowa Renewable,Ethanol Plant,,147 Million Gallons,,,,41.1602,-95.8239
Southbend,Southbend Ethanol LLC,Ethanol Plant,,100 Million Gallons,,,,41.6539,-86.2932
Sterling,Sterling Ethanol LLC,Ethanol Plant,,60 Million Gallons,,,,40.6364,-103.1911
Loudon,Tate & Lyle,Ethanol Plant,,110 Million Gallons,,,,35.7335,-84.3212
Casselton,Tharaldson Ethanol,Ethanol Plant,,165 Million Gallons,,,,46.8979,-97.2616
Albion,The Andersons Marathon Holdings LLC,Ethanol Plant,,147 Million Gallons,,,,42.2574,-84.7874
Clymers,The Andersons Marathon Holdings LLC,Ethanol Plant,,140 Million Gallons,,,,40.7184,-86.4376
Denison,The Andersons Marathon Holdings LLC,Ethanol Plant,,62 Million Gallons,,,,41.9894,-95.3988
Greenville,The Andersons Marathon Holdings LLC,Ethanol Plant,,154 Million Gallons,,,,40.0778,-84.59
Trenton,Trenton Agri Products LLC,Ethanol Plant,,55 Million Gallons,,,,40.1926,-100.9749
Milton,United Ethanol LLC,Ethanol Plant,,61 Million Gallons,,,,42.7634,-88.9178
Friesland,United Wisconsin Grain Producers LLC,Ethanol Plant,,71 Million Gallons,,,,43.5705,-89.0631
Albion,Valero Renewable Fuels,Ethanol Plant,,135 Million Gallons,,,,41.6837,-97.9828
Albert City,Valero Renewable Fuels LLC,Ethanol Plant,,135 Million Gallons,,,,42.7778,-94.9416
Aurora,Valero Renewable Fuels LLC,Ethanol Plant,,140 Million Gallons,,,,44.2929,-96.6889
Bloomingburg,Valero Renewable Fuels LLC,Ethanol Plant,,135 Million Gallons,,,,39.5968,-83.3926
Bluffton,Valero Renewable Fuels LLC,Ethanol Plant,,118 Million Gallons,,,,40.7215,-85.2031
Charles City,Valero Renewable Fuels LLC,Ethanol Plant,,140 Million Gallons,,,,43.0973,-92.7423
Ft Dodge,Valero Renewable Fuels LLC,Ethanol Plant,,140 Million Gallons,,,,42.5114,-94.3051
Hartley,Valero Renewable Fuels LLC,Ethanol Plant,,140 Million Gallons,,,,43.1755,-95.5013
Lakota,Valero Renewable Fuels LLC,Ethanol Plant,,110 Million Gallons,,,,43.384,-94.1442
Linden,Valero Renewable Fuels LLC,Ethanol Plant,,135 Million Gallons,,,,40.1978,-86.9108
Mt Vernon,Valero Renewable Fuels LLC,Ethanol Plant,,100 Million Gallons,,,,37.9347,-87.8726
Welcome,Valero Renewable Fuels LLC,Ethanol Plant,,140 Million Gallons,,,,43.6627,-94.589
Cedar Rapids Dry Mill,VCP Corn Processing,Ethanol Plant,,300 Million Gallons,,,,41.9156,-91.6888
Columbus,VCP Corn Processing,Ethanol Plant,,313 Million Gallons,,,,41.419,-97.2896
Medina,Western New York Energy LLC,Ethanol Plant,,62 Million Gallons,,,,43.2114,-78.3664
Oakley,Western Plains Energy LLC,Ethanol Plant,,52 Million Gallons,,,,39.1223,-100.7377
Hereford,White Energy Hereford LLC,Ethanol Plant,,130 Million Gallons,,,,34.8286,-102.3679
Yuma,Yuma Ethanol LLC,Ethanol Plant,,60 Million Gallons,,,,40.1243,-102.6776
Tolleson Flour Mill, Bay State Milling,Grain Facility, Wheat flour mill (including high-fiber wheat flour),,,,,33.442147,-112.271711
Woodland Specialty Plant, Bay State Milling,Grain Facility," Gluten-free grain and flour processing (oats, seeds, blends, cinnamon)",,,,,38.677696,-121.717765
Platteville Organic Mill, Bay State Milling,Grain Facility, Organic wheat flour mill,,,,,40.217382,-104.712141
Sterling Millet Facility, Bay State Milling,Grain Facility, Millet processing (grain elevator & cleaning),,,,,40.634491,-103.454604
Indiantown Flour Mill, Bay State Milling,Grain Facility, Wheat flour mill,,,,,27.048519,-80.516226
Bolingbrook Ingredient Plant, Bay State Milling,Grain Facility," Gluten-free grains, seeds and blends processing",,,,,41.69529,-88.036843
Quincy Headquarters (Rothwell Center), Bay State Milling,Grain Facility, Corporate HQ and R&D center (with pilot milling),,,,,42.233825,-71.014178
Winona Flour Mill, Bay State Milling,Grain Facility, Wheat & rye flour mill (includes high-fiber wheat flour),,,,,44.05344,-91.630937
Clifton Flour Mill, Bay State Milling,Grain Facility, Wheat flour mill,,,,,40.884011,-74.146063
Mooresville Flour Mill, Bay State Milling,Grain Facility, Organic and conventional wheat flour mill,,,,,35.586844,-80.806424
College Corner Elevator, Keystone Cooperative,Grain Facility," Grain elevator (corn, soy, wheat)",,,,,39.54947,-84.796219
Alliance Feed (Columbia City), Keystone Cooperative,Grain Facility, Feed mill & grain receiving station,,,,,41.125146,-85.381478
Eldorado Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,39.901276,-84.674306
Frankfort �Fairgrounds� Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,40.269459,-86.508723
Frankfort �Scircleville� Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,40.286948,-86.301798
Hagerstown Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,39.890758,-85.107155
Legacy Feed � New Castle, Keystone Cooperative,Grain Facility, Feed mill (with grain storage),,,,,39.924098,-85.273803
Pershing Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,39.810788,-85.135585
Reynolds Feed Mill, Keystone Cooperative,Grain Facility, Feed mill & grain storage,,,,,40.741586,-86.8724
Union Mills Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,41.491848,-86.768869
Malden Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,41.372575,-87.024696
Verona Elevator, Keystone Cooperative,Grain Facility, Grain elevator,,,,,39.902104,-84.487955
Ackley Grain Terminal, Innovative Ag Services,Grain Facility, Country grain elevator,,,,,42.55542,-93.059407
Alden Elevator, Innovative Ag Services,Grain Facility, Grain elevator,,,,,42.505754,-93.379594
Aplington Elevator, Innovative Ag Services,Grain Facility, Grain elevator,,,,,42.585797,-92.88411
Central City Elevator, Innovative Ag Services,Grain Facility, Grain elevator,,,,,42.197878,-91.525748
Cleves (Ackley) Elevator, Innovative Ag Services,Grain Facility, Grain elevator (Cleves area),,,,,42.472171,-93.044152
Ellsworth Elevator, Innovative Ag Services,Grain Facility, Grain elevator,,,,,42.310422,-93.577147
Elma Elevator, Innovative Ag Services,Grain Facility, Grain elevator,,,,,43.249446,-92.436044
Farley Elevator, Innovative Ag Services,Grain Facility, Grain elevator,,,,,42.44864,-91.018979
Faulkner Elevator, Innovative Ag Services,Grain Facility, Grain elevator (Faulkner area),,,,,42.613517,-93.085192
Des Moines � Landus HQ and Grain Hub, Landus Cooperative,Grain Facility, Headquarters & grain marketing hub,,,,,42.001861,-93.634949
Jefferson Grain Elevator, Landus Cooperative,Grain Facility, Grain elevator (shuttle facility),,,,,42.029206,-94.369336
Collins Grain Elevator, Landus Cooperative,Grain Facility, Grain elevator,,,,,41.900659,-93.304606
Panora Grain Elevator, Landus Cooperative,Grain Facility, Grain elevator,,,,,41.692722,-94.360011
Ralston Soybean Crush Plant, Landus Cooperative,Grain Facility, Soybean crushing plant,,,,,42.025507,-94.546616
Atlantic Grain Terminal, Landus Cooperative,Grain Facility, Grain rail terminal,,,,,41.409725,-95.011399
Urbana Grain Elevator, Heritage Cooperative,Grain Facility, Grain elevator & agronomy center,,,,,40.121722,-83.797312
Marysville Elevator & Ag Campus, Heritage Cooperative,Grain Facility, Grain elevator (rail terminal) and supply hub,,,,,40.190944,-83.379996
Mechanicsburg Elevator, Heritage Cooperative,Grain Facility, Grain elevator,,,,,40.070455,-83.558633
Ada (Endiver) Grain Facility, Heritage Cooperative,Grain Facility, Grain elevator,,,,,40.761967,-83.817683
Aberdeen Grain Terminal, Agtegra Cooperative,Grain Facility, High-capacity grain terminal (shuttle loading facility),,,,,45.455749,-98.442382
Huron Grain Terminal, Agtegra Cooperative,Grain Facility, Grain elevator & rail loading,,,,,44.370815,-98.22096
Ipswich Grain Terminal, Agtegra Cooperative,Grain Facility, Grain elevator,,,,,45.46495,-98.483255
Jamestown Grain Terminal, Agtegra Cooperative,Grain Facility, Grain terminal elevator,,,,,46.901659,-98.69478
Des Moines Grain Terminal (Grimes), Heartland Co-op,Grain Facility, Grain rail terminal,,,,,41.66439,-93.620254
Alleman Elevator, Heartland Co-op,Grain Facility, Grain elevator,,,,,41.818203,-93.610662
Melcher-Dallas Elevator, Heartland Co-op,Grain Facility, Grain elevator,,,,,41.223572,-93.242053
Booneville Elevator, Heartland Co-op,Grain Facility, Grain elevator (with rail),,,,,41.514493,-93.887677
Dorchester (Main) Elevator, Farmers Cooperative,Grain Facility, Grain elevator (main office location),,,,,40.645555,-97.113305
Beatrice Grain Terminal, Farmers Cooperative,Grain Facility, Grain elevator & shuttle rail loader,,,,,40.265653,-96.729217
Franklin Elevator, Farmers Cooperative,Grain Facility, Grain elevator,,,,,40.101377,-98.956169
Hastings Elevator, Farmers Cooperative,Grain Facility, Grain elevator,,,,,40.585401,-98.419945
Amarillo Grain Elevator," Attebury Grain, LLC",Grain Facility," Grain elevator (wheat, corn, sorghum)",,,,,35.211476,-101.829982
Dumas Grain Elevator, Attebury Grain,Grain Facility, Grain elevator,,,,,35.864301,-101.973395
Keyes Terminal, Attebury Grain (operated by Ag Partners),Grain Facility, Grain elevator (shuttle train loader),,,,,36.8079,-102.250924
Sublette Grain Elevator, Attebury Grain,Grain Facility, Grain elevator,,,,,37.036575,-100.920916
York Grain Terminal, Central Valley Ag Co-op,Grain Facility, Large grain terminal (rail shuttle),,,,,40.931575,-97.654315
Columbus Grain Terminal, Central Valley Ag,Grain Facility, Grain elevator & rail facility,,,,,41.424137,-97.307084
Beloit Grain Terminal, Central Valley Ag,Grain Facility, Grain terminal,,,,,39.451836,-98.066046
Tamora Grain Elevator, Central Valley Ag,Grain Facility, Grain elevator,,,,,40.91582,-97.101341
Cooper Grain Terminal, NEW Cooperative,Grain Facility, Grain terminal (rail loader),,,,,42.036334,-94.396956
Roelyn Grain Terminal, NEW Cooperative,Grain Facility, Grain elevator,,,,,42.480481,-94.461842
Britt Grain Elevator, NEW Cooperative,Grain Facility, Grain elevator,,,,,43.096484,-93.806462
Pocahontas Grain Elevator, NEW Cooperative,Grain Facility, Grain elevator,,,,,42.729795,-94.673286
Atchison Grain Elevator, Bartlett Grain (Savage),Grain Facility, Grain elevator (rail & river facility),,,,,39.561015,-95.127711
Council Bluffs Elevators (North & South), Bartlett Grain,Grain Facility, Grain elevators (Missouri River terminals),,,,,41.251534,-95.869434
Great Bend Grain Elevator, Bartlett Grain,Grain Facility, Grain elevator,,,,,38.176122,-99.085246
Kansas City � Fairfax Terminal, Bartlett Grain,Grain Facility, Grain terminal (river/rail),,,,,39.080108,-94.648549
Kansas City � KCT Terminal, Bartlett Grain,Grain Facility, Rail grain terminal,,,,,39.128526,-94.540762
St. Joseph Grain Elevator, Bartlett Grain,Grain Facility, Grain elevator (river terminal),,,,,39.757829,-94.855179
Wichita Grain Elevator, Bartlett Grain,Grain Facility, Grain elevator,,,,,37.694447,-97.329019
Statesville Flour Mill, Bartlett Milling Co (Bartlett),Grain Facility, Flour mill,,,,,35.777395,-80.883906
Coffeyville Flour Mill, Bartlett Milling,Grain Facility, Flour mill,,,,,37.030281,-95.617648
Wilson�s Mills Flour Mill, Bartlett Milling,Grain Facility, Flour mill,,,,,35.58813,-78.365976
